recipient,year,country
Igor Yevgenyevich Tamm,1967,SU
Cecil Frank Powell,1967,UK
Vladimir Aleksandrovich Engelgardt,1968,SU
István Rusznyák,1968,Hungary
Nikolay Nikolaevich Semenov,1969,SU
Giulio Natta,1969,Italy
Ivan Matveevich Vinogradov,1970,SU
Arnaud Denjoy,1970,France
Viktor Amazaspovich Ambartsumian,1971,SU
Hannes Alfvén,1971,Sweden
Nikoloz Muskhelishvili,1972,SU
Max Steenbeck,1972,GDR
Aleksandr Pavlovich Vinogradov,1973,SU
Vladimír Zoubek,1973,Czechoslovakia
Aleksandr Ivanovich Tselikov,1974,SU
Angel Balevski,1974,Bulgaria
Mstislav Vsevolodovich Keldysh,1975,SU
Maurice Roy,1975,France
Semyon Isaakovich Volfkovich,1976,SU
Herman Klare,1976,GDR
Mikhail Alekseevich Lavrentiev,1977,SU
Linus Carl Pauling,1977,US
Anatolii Petrovich Aleksandrov,1978,SU
Alexander Robertus Todd,1978,UK
Aleksandr Ivanovich Oparin,1979,SU
Béla Szőkefalvi-Nagy,1979,Hungary
Boris Yevgenevich Paton,1980,SU
Jaroslav Kožešník,1980,Czechoslovakia
Vladimir Aleksandrovich Kotelnikov,1981,SU
Pavle Savić,1981,Serbia
Julii Borisovich Khariton,1982,SU
Dorothy Crowfoot Hodgkin,1982,UK
Andrei Lvovich Kursanov,1983,SU
Abdus Salam,1983,Pakistan
Nikolai Nikolaevich Bogolyubov,1984,SU
Rudolf Mössbauer,1984,FDR
Mikhail Aleksandrovich Sadovsky,1985,SU
Guillermo Haro,1985,Mexico
Svyatoslav Nikolaevich Fyodorov,1986,SU
Josef Řiman,1986,Czechoslovakia
Aleksandr Mikhailovich Prokhorov,1987,SU
John Bardeen,1987,US
Sergei Lvovich Sobolev,1988,SU
Jean Leray,1988,France
Nikolai Gennadievich Basov,1989,SU
Hans Bethe,1989,US
Dmitri Sergeevich Likhachev,1993,Russia
John Kenneth Galbraith,1993,US
Nikolai Konstantinovich Kochetkov,1994,Russia
James D. Watson,1994,US
Vitaly Lazarevich Ginzburg,1995,Russia
Anatole Abragam,1995,France
Nikolai Nikolaevich Krasovsky,1996,Russia
Friedrich Hirzebruch,1996,Germany
Boris Sergeyevich Sokolov,1997,Russia
Frank Press,1997,US
Aleksandr Solzhenitsyn,1998,Russia
Yosikazu Nakamura,1998,Japan
Valentin Lavrentevich Yanin,1999,Russia
Michael Müller-Wille,1999,Germany
Andrei Viktorovich Gaponov-Grekhov,2000,Russia
Charles Hard Townes,2000,US
Alexander Sergeevich Spirin,2001,Russia
Alexander Rich,2001,US
Olga Aleksandrovna Ladyzhenskaya,2002,Russia
Lennart Carleson,2002,Sweden
Yevgeniy Ivanovich Chazov,2003,Russia
Michael E. DeBakey,2003,US
Gury Ivanovich Marchuk,2004,Russia
Edward N. Lorenz,2004,US
Yuri Andreevich Ossipyan,2005,Russia
Peter Hirsch,2005,UK
Nikolay Pavlovich Laverov,2006,Russia
Rodney Charles Ewing,2006,US
Andrey Anatolyevich Zaliznyak,2007,Russia
Simon Franklin,2007,UK
Evgenii Maksimovich Primakov,2008,Russia
Hélène Carrère d’Encausse,2008,France
Vadim Tikhonovich Ivanov,2009,Russia
Ryōji Noyori,2009,Japan
Spartak Timofeevich Belyaev,2010,Russia
Gerard 't Hooft,2010,Netherlands
Vladimir Alexandrovich Tartakovsky,2011,Russia
Roald Hoffmann,2011,US
Gleb Vsevolodovich Dobrovolsky,2012,Russia
Richard Warren Arnold,2012,US
Ludvig Dmitrievich Faddeev,2013,Russia
Peter David Lax,2013,US
Anatoly Derevyanko,2014,Russia
Svante Pääbo,2014,Sweden
Leonid Veniaminovich Keldysh,2015,Russia
Paul Corkum,2015,Canada
Dmitry G. Knorre,2016,Russia
Sidney Altman,2016,US
